0	3	6	5	1	2	0	0	0	2	1	0	2	4	0	1	0	1	0	0	1	0	2	0	1	0	4	1	4	6	6	4	5	3	5	1	0	2	4	2	1	0	0	1	0	0	0	1	1	0	0	1	3	1	1	0	0	2	0	2	2	1	0	0	1	0	1	0	2	1	1	1	0	0	0	2	0	0	0	0
0.008	2	5	8	2	1	0	2	0	4	3	1	2	0	2	0	1	2	2	3	0	0	2	1	2	0	3	8	4	10	5	3	5	5	5	5	1	2	1	1	2	1	2	0	2	2	1	1	1	2	0	0	2	0	1	0	0	0	1	0	1	0	2	0	1	1	0	0	0	0	1	1	1	1	0	0	0	2	0	0
0.016	2	3	4	2	0	3	3	0	1	0	1	0	0	1	1	3	0	1	2	1	1	1	1	5	3	3	4	3	4	3	7	6	1	8	2	3	2	1	3	0	0	1	4	1	3	0	1	0	3	0	1	0	0	1	0	0	0	0	0	0	0	1	2	1	2	1	0	1	0	1	1	0	0	0	0	0	1	0	1
0.024	3	7	8	0	1	1	0	0	4	0	2	1	1	2	1	1	0	0	0	5	2	1	0	3	4	4	7	7	12	7	12	6	3	4	7	4	2	1	2	0	0	2	0	1	1	2	2	0	2	0	0	2	1	2	1	0	0	0	1	0	2	2	1	0	0	1	0	3	1	3	0	1	0	0	1	0	0	1	1
0.032	2	2	4	0	0	1	3	0	1	1	2	2	0	0	1	0	1	0	1	0	5	1	1	1	1	1	3	7	6	5	4	4	2	2	2	2	2	6	0	0	1	1	3	0	0	1	0	3	1	0	1	2	0	2	2	0	0	0	1	1	2	1	0	1	0	0	2	0	0	2	1	1	0	1	2	1	0	2	0
0.04	4	5	3	5	1	1	1	0	2	1	1	0	1	0	2	2	1	1	3	2	4	2	1	4	7	3	5	10	6	9	3	5	8	6	4	4	1	1	3	5	1	0	2	3	1	2	0	0	0	2	1	0	1	1	0	0	2	2	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	2	2	1	0	2	2
0.048	3	5	4	1	1	1	1	2	0	0	0	1	1	1	2	5	1	1	0	1	3	0	1	4	2	4	4	3	6	10	2	7	14	5	5	5	3	0	3	3	1	4	2	4	3	1	0	2	1	1	1	2	1	0	0	0	1	1	3	2	1	2	0	0	2	0	0	0	1	1	0	1	0	0	2	0	1	0	0
0.056	2	4	4	3	1	0	0	2	2	0	0	2	0	1	0	1	1	1	0	1	0	2	1	2	2	4	2	6	10	10	5	9	2	3	1	3	5	2	1	1	1	1	1	1	1	2	0	1	3	0	0	1	1	1	0	1	1	1	2	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	2
0.064	1	1	2	2	1	2	1	0	2	0	1	1	2	1	1	4	2	1	0	1	0	5	1	0	4	5	4	7	10	4	8	5	3	6	3	3	0	2	2	2	1	2	2	0	1	1	1	1	0	0	0	1	2	1	0	1	2	0	0	1	1	0	0	1	0	3	0	0	0	1	0	1	1	1	2	1	0	0	1
0.072	4	2	2	3	0	1	0	0	0	1	2	0	1	4	1	0	0	0	1	1	1	1	4	0	4	0	7	2	2	5	4	4	6	5	3	2	3	1	0	5	1	0	0	0	1	3	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	1	1	4	2
0.08	4	5	3	1	3	4	2	1	2	0	2	1	1	4	0	1	2	1	3	1	1	1	2	1	5	3	7	3	5	5	5	2	5	2	5	1	2	2	1	2	3	1	2	3	1	1	1	1	0	0	0	2	2	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	2	1	0	3	1	2
0.088	4	2	6	2	0	4	2	1	1	0	0	0	2	0	1	0	1	1	0	1	1	0	3	1	4	4	4	7	5	4	6	2	5	10	4	4	5	3	0	1	2	1	2	1	0	2	1	1	1	0	1	0	2	0	3	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	2	1	1
