0	3
0.008	5
0.016	3
0.024	3
0.032	3
0.04	1
0.048	1
0.056	3
0.064	3
0.072	6
0.08	1
0.088	3
0.096	4
0.104	0
0.112	3
0.12	4
0.128	1
0.136	4
0.144	2
0.152	4
0.16	8
0.168	3
0.176	3
0.184	3
0.192	2
0.2	2
0.208	1
0.216	6
0.224	7
0.232	1
0.24	4
0.248	0
0.256	1
0.264	6
0.272	3
0.28	3
0.288	5
0.296	5
0.304	4
0.312	2
0.32	2
0.328	2
0.336	0
0.344	5
0.352	4
0.36	2
0.368	3
0.376	4
0.384	3
0.392	1
0.4	4
0.408	1
0.416	3
0.424	8
0.432	4
0.44	2
0.448	1
0.456	5
0.464	4
0.472	3
0.48	3
0.488	3
0.496	2
0.504	4
0.512	2
0.52	5
0.528	1
0.536	4
0.544	2
0.552	5
0.56	3
0.568	5
0.576	3
0.584	11
0.592	10
0.6	4
0.608	6
0.616	3
0.624	5
0.632	2
0.64	2
0.648	8
0.656	4
0.664	4
0.672	6
0.68	3
0.688	3
0.696	1
0.704	3
0.712	4
0.72	3
0.728	4
0.736	6
0.744	4
0.752	4
0.76	2
0.768	2
0.776	2
0.784	0
0.792	5
0.8	2
0.808	0
0.816	4
0.824	3
0.832	5
0.84	2
0.848	3
0.856	2
0.864	5
0.872	7
0.88	3
0.888	2
0.896	5
0.904	3
0.912	2
0.92	6
0.928	5
0.936	3
0.944	3
0.952	2
0.96	4
0.968	6
0.976	2
0.984	1
0.992	3
1	3
1.008	4
1.016	5
1.024	2
1.032	2
1.04	4
1.048	1
1.056	8
1.064	1
1.072	2
1.08	5
1.088	5
1.096	1
1.104	4
1.112	1
1.12	1
1.128	2
1.136	1
1.144	6
1.152	2
1.16	5
1.168	2
1.176	5
1.184	4
1.192	2
1.2	2
1.208	4
1.216	3
1.224	2
1.232	4
1.24	1
1.248	4
1.256	1
1.264	6
1.272	1
1.28	4
1.288	0
1.296	5
1.304	3
1.312	4
1.32	3
1.328	4
1.336	6
1.344	7
1.352	2
1.36	1
1.368	3
1.376	5
1.384	1
1.392	5
1.4	7
1.408	2
1.416	6
1.424	3
1.432	1
1.44	2
1.448	4
1.456	5
1.464	0
1.472	4
1.48	6
1.488	5
1.496	5
1.504	2
1.512	2
1.52	1
1.528	1
1.536	1
1.544	8
1.552	4
1.56	4
1.568	3
1.576	3
1.584	6
1.592	2
1.6	3
1.608	4
1.616	4
1.624	7
1.632	3
1.64	2
1.648	3
1.656	0
1.664	6
1.672	6
1.68	4
1.688	4
1.696	5
1.704	5
1.712	2
1.72	6
1.728	2
1.736	2
1.744	5
1.752	5
1.76	3
1.768	3
1.776	1
1.784	3
1.792	2
1.8	1
1.808	4
1.816	2
1.824	2
1.832	3
1.84	2
1.848	5
1.856	3
1.864	3
1.872	3
1.88	2
1.888	4
1.896	2
1.904	3
1.912	4
1.92	4
1.928	4
1.936	2
1.944	4
1.952	3
1.96	2
